,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
274,Southwest,El Paso,"NM, TX",2012 (Mexicans Only),8915.0,2012 ,Mexicans Only
275,Southwest,Laredo,TX,2012 (Mexicans Only),31742.0,2012 ,Mexicans Only
276,Southwest,Rio Grande Valley,TX,2012 (Mexicans Only),47823.0,2012 ,Mexicans Only
277,Southwest,San Diego,CA,2012 (Mexicans Only),27307.0,2012 ,Mexicans Only
278,Southwest,Tucson,AZ,2012 (Mexicans Only),102303.0,2012 ,Mexicans Only
279,Southwest,Yuma,"CA, AZ",2012 (Mexicans Only),5919.0,2012 ,Mexicans Only
280,Coast,Miami,"FL, GA, SC, NC",2013 (All Illegal Immigrants),1738.0,2013 ,All Illegal Immigrants
281,Coast,New Orleans,"LA, AL, MS, FL",2013 (All Illegal Immigrants),500.0,2013 ,All Illegal Immigrants
282,Coast,Ramey,PR,2013 (All Illegal Immigrants),924.0,2013 ,All Illegal Immigrants
283,North,Blaine,"WA, OR",2013 (All Illegal Immigrants),360.0,2013 ,All Illegal Immigrants
284,North,Buffalo,"NY, PA",2013 (All Illegal Immigrants),796.0,2013 ,All Illegal Immigrants
285,North,Detroit,"OH, MI, IN, IL",2013 (All Illegal Immigrants),650.0,2013 ,All Illegal Immigrants
286,North,Grand Forks,"WI, MN, ND",2013 (All Illegal Immigrants),469.0,2013 ,All Illegal Immigrants
287,North,Havre,MT,2013 (All Illegal Immigrants),88.0,2013 ,All Illegal Immigrants
288,North,Houlton,ME,2013 (All Illegal Immigrants),37.0,2013 ,All Illegal Immigrants
289,North,Spokane,"MT, ID, WA",2013 (All Illegal Immigrants),299.0,2013 ,All Illegal Immigrants
290,North,Swanton,"NH, VT, NY",2013 (All Illegal Immigrants),531.0,2013 ,All Illegal Immigrants
291,Southwest,Big Bend,TX,2013 (All Illegal Immigrants),3684.0,2013 ,All Illegal Immigrants
292,Southwest,Del Rio,TX,2013 (All Illegal Immigrants),23510.0,2013 ,All Illegal Immigrants
293,Southwest,El Centro,CA,2013 (All Illegal Immigrants),16306.0,2013 ,All Illegal Immigrants
294,Southwest,El Paso,"NM, TX",2013 (All Illegal Immigrants),11154.0,2013 ,All Illegal Immigrants
295,Southwest,Laredo,TX,2013 (All Illegal Immigrants),50749.0,2013 ,All Illegal Immigrants
296,Southwest,Rio Grande Valley,TX,2013 (All Illegal Immigrants),154453.0,2013 ,All Illegal Immigrants
297,Southwest,San Diego,CA,2013 (All Illegal Immigrants),27496.0,2013 ,All Illegal Immigrants
298,Southwest,Tucson,AZ,2013 (All Illegal Immigrants),120939.0,2013 ,All Illegal Immigrants
299,Southwest,Yuma,"CA, AZ",2013 (All Illegal Immigrants),6106.0,2013 ,All Illegal Immigrants
300,Coast,Miami,"FL, GA, SC, NC",2013 (Mexicans Only),388.0,2013 ,Mexicans Only
301,Coast,New Orleans,"LA, AL, MS, FL",2013 (Mexicans Only),262.0,2013 ,Mexicans Only
302,Coast,Ramey,PR,2013 (Mexicans Only),3.0,2013 ,Mexicans Only
303,North,Blaine,"WA, OR",2013 (Mexicans Only),106.0,2013 ,Mexicans Only
304,North,Buffalo,"NY, PA",2013 (Mexicans Only),370.0,2013 ,Mexicans Only
305,North,Detroit,"OH, MI, IN, IL",2013 (Mexicans Only),479.0,2013 ,Mexicans Only
306,North,Grand Forks,"WI, MN, ND",2013 (Mexicans Only),337.0,2013 ,Mexicans Only
307,North,Havre,MT,2013 (Mexicans Only),62.0,2013 ,Mexicans Only
308,North,Houlton,ME,2013 (Mexicans Only),1.0,2013 ,Mexicans Only
309,North,Spokane,"MT, ID, WA",2013 (Mexicans Only),237.0,2013 ,Mexicans Only
310,North,Swanton,"NH, VT, NY",2013 (Mexicans Only),80.0,2013 ,Mexicans Only
311,Southwest,Big Bend,TX,2013 (Mexicans Only),3174.0,2013 ,Mexicans Only
312,Southwest,Del Rio,TX,2013 (Mexicans Only),14005.0,2013 ,Mexicans Only
313,Southwest,El Centro,CA,2013 (Mexicans Only),15141.0,2013 ,Mexicans Only
314,Southwest,El Paso,"NM, TX",2013 (Mexicans Only),10092.0,2013 ,Mexicans Only
315,Southwest,Laredo,TX,2013 (Mexicans Only),32772.0,2013 ,Mexicans Only
316,Southwest,Rio Grande Valley,TX,2013 (Mexicans Only),57624.0,2013 ,Mexicans Only
317,Southwest,San Diego,CA,2013 (Mexicans Only),26223.0,2013 ,Mexicans Only
318,Southwest,Tucson,AZ,2013 (Mexicans Only),101092.0,2013 ,Mexicans Only
319,Southwest,Yuma,"CA, AZ",2013 (Mexicans Only),5286.0,2013 ,Mexicans Only
320,Coast,Miami,"FL, GA, SC, NC",2014 (All Illegal Immigrants),2034.0,2014 ,All Illegal Immigrants
321,Coast,New Orleans,"LA, AL, MS, FL",2014 (All Illegal Immigrants),950.0,2014 ,All Illegal Immigrants
322,Coast,Ramey,PR,2014 (All Illegal Immigrants),958.0,2014 ,All Illegal Immigrants
323,North,Blaine,"WA, OR",2014 (All Illegal Immigrants),272.0,2014 ,All Illegal Immigrants
324,North,Buffalo,"NY, PA",2014 (All Illegal Immigrants),741.0,2014 ,All Illegal Immigrants
325,North,Detroit,"OH, MI, IN, IL",2014 (All Illegal Immigrants),647.0,2014 ,All Illegal Immigrants
326,North,Grand Forks,"WI, MN, ND",2014 (All Illegal Immigrants),767.0,2014 ,All Illegal Immigrants
327,North,Havre,MT,2014 (All Illegal Immigrants),91.0,2014 ,All Illegal Immigrants
328,North,Houlton,ME,2014 (All Illegal Immigrants),45.0,2014 ,All Illegal Immigrants
329,North,Spokane,"MT, ID, WA",2014 (All Illegal Immigrants),269.0,2014 ,All Illegal Immigrants
330,North,Swanton,"NH, VT, NY",2014 (All Illegal Immigrants),506.0,2014 ,All Illegal Immigrants
331,Southwest,Big Bend,TX,2014 (All Illegal Immigrants),4096.0,2014 ,All Illegal Immigrants
332,Southwest,Del Rio,TX,2014 (All Illegal Immigrants),24255.0,2014 ,All Illegal Immigrants
333,Southwest,El Centro,CA,2014 (All Illegal Immigrants),14511.0,2014 ,All Illegal Immigrants
334,Southwest,El Paso,"NM, TX",2014 (All Illegal Immigrants),12339.0,2014 ,All Illegal Immigrants
335,Southwest,Laredo,TX,2014 (All Illegal Immigrants),44049.0,2014 ,All Illegal Immigrants
336,Southwest,Rio Grande Valley,TX,2014 (All Illegal Immigrants),256393.0,2014 ,All Illegal Immigrants
337,Southwest,San Diego,CA,2014 (All Illegal Immigrants),29911.0,2014 ,All Illegal Immigrants
338,Southwest,Tucson,AZ,2014 (All Illegal Immigrants),87915.0,2014 ,All Illegal Immigrants
339,Southwest,Yuma,"CA, AZ",2014 (All Illegal Immigrants),5902.0,2014 ,All Illegal Immigrants
340,Coast,Miami,"FL, GA, SC, NC",2014 (Mexicans Only),277.0,2014 ,Mexicans Only
341,Coast,New Orleans,"LA, AL, MS, FL",2014 (Mexicans Only),465.0,2014 ,Mexicans Only
342,Coast,Ramey,PR,2014 (Mexicans Only),0.0,2014 ,Mexicans Only
343,North,Blaine,"WA, OR",2014 (Mexicans Only),58.0,2014 ,Mexicans Only
344,North,Buffalo,"NY, PA",2014 (Mexicans Only),294.0,2014 ,Mexicans Only
345,North,Detroit,"OH, MI, IN, IL",2014 (Mexicans Only),431.0,2014 ,Mexicans Only
346,North,Grand Forks,"WI, MN, ND",2014 (Mexicans Only),532.0,2014 ,Mexicans Only
347,North,Havre,MT,2014 (Mexicans Only),51.0,2014 ,Mexicans Only
348,North,Houlton,ME,2014 (Mexicans Only),5.0,2014 ,Mexicans Only
349,North,Spokane,"MT, ID, WA",2014 (Mexicans Only),219.0,2014 ,Mexicans Only
350,North,Swanton,"NH, VT, NY",2014 (Mexicans Only),75.0,2014 ,Mexicans Only
351,Southwest,Big Bend,TX,2014 (Mexicans Only),3164.0,2014 ,Mexicans Only
352,Southwest,Del Rio,TX,2014 (Mexicans Only),10196.0,2014 ,Mexicans Only
353,Southwest,El Centro,CA,2014 (Mexicans Only),12511.0,2014 ,Mexicans Only
354,Southwest,El Paso,"NM, TX",2014 (Mexicans Only),9904.0,2014 ,Mexicans Only
355,Southwest,Laredo,TX,2014 (Mexicans Only),26540.0,2014 ,Mexicans Only
356,Southwest,Rio Grande Valley,TX,2014 (Mexicans Only),63468.0,2014 ,Mexicans Only
357,Southwest,San Diego,CA,2014 (Mexicans Only),27871.0,2014 ,Mexicans Only
358,Southwest,Tucson,AZ,2014 (Mexicans Only),68870.0,2014 ,Mexicans Only
359,Southwest,Yuma,"CA, AZ",2014 (Mexicans Only),4247.0,2014 ,Mexicans Only
360,Coast,Miami,"FL, GA, SC, NC",2015 (All Illegal Immigrants),1752.0,2015 ,All Illegal Immigrants
361,Coast,New Orleans,"LA, AL, MS, FL",2015 (All Illegal Immigrants),849.0,2015 ,All Illegal Immigrants
362,Coast,Ramey,PR,2015 (All Illegal Immigrants),557.0,2015 ,All Illegal Immigrants
363,North,Blaine,"WA, OR",2015 (All Illegal Immigrants),282.0,2015 ,All Illegal Immigrants
364,North,Buffalo,"NY, PA",2015 (All Illegal Immigrants),291.0,2015 ,All Illegal Immigrants
365,North,Detroit,"OH, MI, IN, IL",2015 (All Illegal Immigrants),637.0,2015 ,All Illegal Immigrants
366,North,Grand Forks,"WI, MN, ND",2015 (All Illegal Immigrants),789.0,2015 ,All Illegal Immigrants
367,North,Havre,MT,2015 (All Illegal Immigrants),64.0,2015 ,All Illegal Immigrants
368,North,Houlton,ME,2015 (All Illegal Immigrants),32.0,2015 ,All Illegal Immigrants
369,North,Spokane,"MT, ID, WA",2015 (All Illegal Immigrants),190.0,2015 ,All Illegal Immigrants
370,North,Swanton,"NH, VT, NY",2015 (All Illegal Immigrants),341.0,2015 ,All Illegal Immigrants
371,Southwest,Big Bend,TX,2015 (All Illegal Immigrants),5031.0,2015 ,All Illegal Immigrants
372,Southwest,Del Rio,TX,2015 (All Illegal Immigrants),19013.0,2015 ,All Illegal Immigrants
373,Southwest,El Centro,CA,2015 (All Illegal Immigrants),12820.0,2015 ,All Illegal Immigrants
374,Southwest,El Paso,"NM, TX",2015 (All Illegal Immigrants),14495.0,2015 ,All Illegal Immigrants
375,Southwest,Laredo,TX,2015 (All Illegal Immigrants),35888.0,2015 ,All Illegal Immigrants
376,Southwest,Rio Grande Valley,TX,2015 (All Illegal Immigrants),147257.0,2015 ,All Illegal Immigrants
377,Southwest,San Diego,CA,2015 (All Illegal Immigrants),26290.0,2015 ,All Illegal Immigrants
378,Southwest,Tucson,AZ,2015 (All Illegal Immigrants),63397.0,2015 ,All Illegal Immigrants
379,Southwest,Yuma,"CA, AZ",2015 (All Illegal Immigrants),7142.0,2015 ,All Illegal Immigrants
380,Coast,Miami,"FL, GA, SC, NC",2015 (Mexicans Only),273.0,2015 ,Mexicans Only
381,Coast,New Orleans,"LA, AL, MS, FL",2015 (Mexicans Only),394.0,2015 ,Mexicans Only
382,Coast,Ramey,PR,2015 (Mexicans Only),1.0,2015 ,Mexicans Only
383,North,Blaine,"WA, OR",2015 (Mexicans Only),67.0,2015 ,Mexicans Only
384,North,Buffalo,"NY, PA",2015 (Mexicans Only),137.0,2015 ,Mexicans Only
385,North,Detroit,"OH, MI, IN, IL",2015 (Mexicans Only),427.0,2015 ,Mexicans Only
386,North,Grand Forks,"WI, MN, ND",2015 (Mexicans Only),563.0,2015 ,Mexicans Only
387,North,Havre,MT,2015 (Mexicans Only),46.0,2015 ,Mexicans Only
388,North,Houlton,ME,2015 (Mexicans Only),1.0,2015 ,Mexicans Only
389,North,Spokane,"MT, ID, WA",2015 (Mexicans Only),153.0,2015 ,Mexicans Only
390,North,Swanton,"NH, VT, NY",2015 (Mexicans Only),43.0,2015 ,Mexicans Only
391,Southwest,Big Bend,TX,2015 (Mexicans Only),2177.0,2015 ,Mexicans Only
392,Southwest,Del Rio,TX,2015 (Mexicans Only),10874.0,2015 ,Mexicans Only
393,Southwest,El Centro,CA,2015 (Mexicans Only),11320.0,2015 ,Mexicans Only
394,Southwest,El Paso,"NM, TX",2015 (Mexicans Only),10677.0,2015 ,Mexicans Only
395,Southwest,Laredo,TX,2015 (Mexicans Only),25766.0,2015 ,Mexicans Only
396,Southwest,Rio Grande Valley,TX,2015 (Mexicans Only),48173.0,2015 ,Mexicans Only
397,Southwest,San Diego,CA,2015 (Mexicans Only),24269.0,2015 ,Mexicans Only
398,Southwest,Tucson,AZ,2015 (Mexicans Only),48916.0,2015 ,Mexicans Only
399,Southwest,Yuma,"CA, AZ",2015 (Mexicans Only),3845.0,2015 ,Mexicans Only
400,Coast,Miami,"FL, GA, SC, NC",2016 (All Illegal Immigrants),3205.0,2016 ,All Illegal Immigrants
401,Coast,New Orleans,"LA, AL, MS, FL",2016 (All Illegal Immigrants),764.0,2016 ,All Illegal Immigrants
402,Coast,Ramey,PR,2016 (All Illegal Immigrants),694.0,2016 ,All Illegal Immigrants
403,North,Blaine,"WA, OR",2016 (All Illegal Immigrants),271.0,2016 ,All Illegal Immigrants
404,North,Buffalo,"NY, PA",2016 (All Illegal Immigrants),226.0,2016 ,All Illegal Immigrants
405,North,Detroit,"OH, MI, IN, IL",2016 (All Illegal Immigrants),716.0,2016 ,All Illegal Immigrants
406,North,Grand Forks,"WI, MN, ND",2016 (All Illegal Immigrants),505.0,2016 ,All Illegal Immigrants
407,North,Havre,MT,2016 (All Illegal Immigrants),43.0,2016 ,All Illegal Immigrants
408,North,Houlton,ME,2016 (All Illegal Immigrants),25.0,2016 ,All Illegal Immigrants
409,North,Spokane,"MT, ID, WA",2016 (All Illegal Immigrants),206.0,2016 ,All Illegal Immigrants
410,North,Swanton,"NH, VT, NY",2016 (All Illegal Immigrants),291.0,2016 ,All Illegal Immigrants
411,Southwest,Big Bend,TX,2016 (All Illegal Immigrants),6366.0,2016 ,All Illegal Immigrants
412,Southwest,Del Rio,TX,2016 (All Illegal Immigrants),23078.0,2016 ,All Illegal Immigrants
413,Southwest,El Centro,CA,2016 (All Illegal Immigrants),19448.0,2016 ,All Illegal Immigrants
414,Southwest,El Paso,"NM, TX",2016 (All Illegal Immigrants),25634.0,2016 ,All Illegal Immigrants
415,Southwest,Laredo,TX,2016 (All Illegal Immigrants),36562.0,2016 ,All Illegal Immigrants
416,Southwest,Rio Grande Valley,TX,2016 (All Illegal Immigrants),186830.0,2016 ,All Illegal Immigrants
417,Southwest,San Diego,CA,2016 (All Illegal Immigrants),31891.0,2016 ,All Illegal Immigrants
418,Southwest,Tucson,AZ,2016 (All Illegal Immigrants),64891.0,2016 ,All Illegal Immigrants
419,Southwest,Yuma,"CA, AZ",2016 (All Illegal Immigrants),14170.0,2016 ,All Illegal Immigrants
420,Coast,Miami,"FL, GA, SC, NC",2016 (Mexicans Only),652.0,2016 ,Mexicans Only
421,Coast,New Orleans,"LA, AL, MS, FL",2016 (Mexicans Only),388.0,2016 ,Mexicans Only
422,Coast,Ramey,PR,2016 (Mexicans Only),0.0,2016 ,Mexicans Only
423,North,Blaine,"WA, OR",2016 (Mexicans Only),40.0,2016 ,Mexicans Only
424,North,Buffalo,"NY, PA",2016 (Mexicans Only),82.0,2016 ,Mexicans Only
425,North,Detroit,"OH, MI, IN, IL",2016 (Mexicans Only),504.0,2016 ,Mexicans Only
426,North,Grand Forks,"WI, MN, ND",2016 (Mexicans Only),352.0,2016 ,Mexicans Only
427,North,Havre,MT,2016 (Mexicans Only),12.0,2016 ,Mexicans Only
428,North,Houlton,ME,2016 (Mexicans Only),7.0,2016 ,Mexicans Only
429,North,Spokane,"MT, ID, WA",2016 (Mexicans Only),149.0,2016 ,Mexicans Only
430,North,Swanton,"NH, VT, NY",2016 (Mexicans Only),23.0,2016 ,Mexicans Only
431,Southwest,Big Bend,TX,2016 (Mexicans Only),2728.0,2016 ,Mexicans Only
432,Southwest,Del Rio,TX,2016 (Mexicans Only),12953.0,2016 ,Mexicans Only
433,Southwest,El Centro,CA,2016 (Mexicans Only),14361.0,2016 ,Mexicans Only
434,Southwest,El Paso,"NM, TX",2016 (Mexicans Only),13660.0,2016 ,Mexicans Only
435,Southwest,Laredo,TX,2016 (Mexicans Only),25337.0,2016 ,Mexicans Only
436,Southwest,Rio Grande Valley,TX,2016 (Mexicans Only),46334.0,2016 ,Mexicans Only
437,Southwest,San Diego,CA,2016 (Mexicans Only),25380.0,2016 ,Mexicans Only
438,Southwest,Tucson,AZ,2016 (Mexicans Only),46494.0,2016 ,Mexicans Only
439,Southwest,Yuma,"CA, AZ",2016 (Mexicans Only),3513.0,2016 ,Mexicans Only
